Name,Item #,Path,P-Size (bytes),Modified
AMLIT,1007,M18867-0001.001/NONAME [FAT12]/[root]/AMLIT,87040,6/7/1994 8:20:26 PM (1994-06-08 00:20:26 UTC)
AWOLFE,1023,M18867-0001.001/NONAME [FAT12]/[root]/AWOLFE,3072,6/6/1996 10:11:24 AM (1996-06-06 14:11:24 UTC)
BOGDAN,1008,M18867-0001.001/NONAME [FAT12]/[root]/BOGDAN,2048,6/7/1994 11:41:02 PM (1994-06-08 03:41:02 UTC)
CLEMENTS,1010,M18867-0001.001/NONAME [FAT12]/[root]/CLEMENTS,1024,11/25/1988 4:01:24 PM (1988-11-25 21:01:24 UTC)
CRITLIST.87,1035,M18867-0001.001/NONAME [FAT12]/[root]/CRITLIST.87,3072,9/7/1988 4:55:24 PM (1988-09-07 20:55:24 UTC)
CRITLIST.88,1033,M18867-0001.001/NONAME [FAT12]/[root]/CRITLIST.88,2048,9/18/1988 6:09:38 PM (1988-09-18 22:09:38 UTC)
ELMAN,1024,M18867-0001.001/NONAME [FAT12]/[root]/ELMAN,2048,1/1/1998 11:28:34 PM (1998-01-02 04:28:34 UTC)
FAT1,1043,M18867-0001.001/NONAME [FAT12]/FAT1,n/a,n/a
FAT2,1044,M18867-0001.001/NONAME [FAT12]/FAT2,n/a,n/a
GATESPUB.89,1026,M18867-0001.001/NONAME [FAT12]/[root]/GATESPUB.89,4096,10/10/2000 3:00:08 PM (2000-10-10 19:00:08 UTC)
HAMLET.RD,1030,M18867-0001.001/NONAME [FAT12]/[root]/HAMLET.RD,5120,2/6/1987 12:24:34 AM (1987-02-06 05:24:34 UTC)
HASKELL,1014,M18867-0001.001/NONAME [FAT12]/[root]/HASKELL,2048,2/26/1990 11:01:36 AM (1990-02-26 16:01:36 UTC)
HERRON,1016,M18867-0001.001/NONAME [FAT12]/[root]/HERRON,2048,9/18/1993 12:35:50 AM (1993-09-18 04:35:50 UTC)
HORI,1004,M18867-0001.001/NONAME [FAT12]/[root]/HORI,1024,11/21/1993 5:07:48 PM (1993-11-21 22:07:48 UTC)
IDEOLOGY,1029,M18867-0001.001/NONAME [FAT12]/[root]/IDEOLOGY,2048,10/10/2000 3:47:18 PM (2000-10-10 19:47:18 UTC)
INTROMLA.92,1032,M18867-0001.001/NONAME [FAT12]/[root]/INTROMLA.92,13312,12/29/1992 3:03:40 PM (1992-12-29 20:03:40 UTC)
INVITE,1038,M18867-0001.001/NONAME [FAT12]/[root]/INVITE,3072,3/10/1991 1:36:20 PM (1991-03-10 18:36:20 UTC)
ISLER,1018,M18867-0001.001/NONAME [FAT12]/[root]/ISLER,1024,11/21/1993 5:42:00 PM (1993-11-21 22:42:00 UTC)
KARDON,1034,M18867-0001.001/NONAME [FAT12]/[root]/KARDON,2048,1/8/1988 5:16:56 PM (1988-01-08 22:16:56 UTC)
LETTER,1039,M18867-0001.001/NONAME [FAT12]/[root]/LETTER,16384,10/16/1987 11:01:52 AM (1987-10-16 15:01:52 UTC)
LETTER2,1040,M18867-0001.001/NONAME [FAT12]/[root]/LETTER2,16384,12/6/1987 1:44:42 PM (1987-12-06 18:44:42 UTC)
NIR,1013,M18867-0001.001/NONAME [FAT12]/[root]/NIR,2048,6/27/1989 10:39:54 AM (1989-06-27 14:39:54 UTC)
NONAME [FAT12],1001,M18867-0001.001/NONAME [FAT12],n/a,n/a
POEMS.RD,1028,M18867-0001.001/NONAME [FAT12]/[root]/POEMS.RD,3072,10/10/2000 3:28:58 PM (2000-10-10 19:28:58 UTC)
PROGRAM.87,1003,M18867-0001.001/NONAME [FAT12]/[root]/PROGRAM.87,12288,1/31/1988 11:56:50 AM (1988-01-31 16:56:50 UTC)
PROGRAM.MLA,1031,M18867-0001.001/NONAME [FAT12]/[root]/PROGRAM.MLA,7168,5/27/1992 10:45:48 PM (1992-05-28 02:45:48 UTC)
PROMO.98,1027,M18867-0001.001/NONAME [FAT12]/[root]/PROMO.98,4096,1/8/1998 9:26:08 PM (1998-01-09 02:26:08 UTC)
RECOMM.96,1037,M18867-0001.001/NONAME [FAT12]/[root]/RECOMM.96,2048,1/13/1996 5:39:04 PM (1996-01-13 22:39:04 UTC)
ROTH,1019,M18867-0001.001/NONAME [FAT12]/[root]/ROTH,3072,11/19/1995 4:20:00 PM (1995-11-19 21:20:00 UTC)
SCAN,1005,M18867-0001.001/NONAME [FAT12]/[root]/SCAN,80896,4/28/1994 1:46:52 PM (1994-04-28 17:46:52 UTC)
SCAN.WP5,1006,M18867-0001.001/NONAME [FAT12]/[root]/SCAN.WP5,55296,3/24/1994 11:46:48 PM (1994-03-25 04:46:48 UTC)
SIMONE,1021,M18867-0001.001/NONAME [FAT12]/[root]/SIMONE,2048,7/2/1998 7:50:34 AM (1998-07-02 11:50:34 UTC)
SORKIN,1012,M18867-0001.001/NONAME [FAT12]/[root]/SORKIN,2048,10/27/1991 4:03:54 PM (1991-10-27 21:03:54 UTC)
STERN,1009,M18867-0001.001/NONAME [FAT12]/[root]/STERN,1024,12/20/1988 3:33:38 PM (1988-12-20 20:33:38 UTC)
TERES,1022,M18867-0001.001/NONAME [FAT12]/[root]/TERES,2048,12/3/1995 11:20:06 PM (1995-12-04 04:20:06 UTC)
TORGOV,1020,M18867-0001.001/NONAME [FAT12]/[root]/TORGOV,2048,1/10/1994 12:42:04 PM (1994-01-10 17:42:04 UTC)
VBR,1041,M18867-0001.001/NONAME [FAT12]/VBR,n/a,n/a
WILLIAMS,1036,M18867-0001.001/NONAME [FAT12]/[root]/WILLIAMS,4096,8/29/1989 9:00:20 AM (1989-08-29 13:00:20 UTC)
WILSON,1025,M18867-0001.001/NONAME [FAT12]/[root]/WILSON,2048,4/10/1998 10:28:08 AM (1998-04-10 14:28:08 UTC)
WOLFE,1011,M18867-0001.001/NONAME [FAT12]/[root]/WOLFE,2048,6/21/1989 1:39:22 PM (1989-06-21 17:39:22 UTC)
WOLFE2,1015,M18867-0001.001/NONAME [FAT12]/[root]/WOLFE2,1024,11/19/1991 8:40:44 AM (1991-11-19 13:40:44 UTC)
WRESZIN,1017,M18867-0001.001/NONAME [FAT12]/[root]/WRESZIN,2048,12/11/1993 7:17:56 PM (1993-12-12 00:17:56 UTC)
